Resampled_Scientist	Gender	Type
The specific name ‘‘ obako ” is a dialect in Akita and Yamagata Prefectures meaning young girls	W	NonScientist
Darrell Ubick’s sister, Katarina Mijatović	W	NonScientist
Janet Baron by her family, who successfully bid on the chance to name this species at a charity auction benefiting the Northwest School in Seattle	W	NonScientist
Wife of the last Hawaiian king; My kids went to the 'Kapiolani' school ;-)	W	NonScientist
mother	W	NonScientist
wife	W	NonScientist
Miss L. Flandroy	W	NonScientist
Griselda Montiel Parra, nicknamed “Gris”, who helped collect the holotype	W	NonScientist
Wife (Anna Marie Sørensen)	W	NonScientist
niece	W	NonScientist
names after the Bactrian (region where the species was collected) wife of Alexander the Great	W	NonScientist
author's daughter	W	NonScientist
This species is named after my wife, Soesila Makhan.	W	NonScientist
Gina Marcela Chaves Sancho (wife)	W	NonScientist
The species is named for my wife, Dinora.	W	NonScientist
dedicated to the family Vanvolsem, especially to my dear wife Martine member of this family	W	NonScientist
my beloved grand mother late Smt. Durlavi Rani Biswas.	W	NonScientist
Caterine Ibargüen Mena, world champion of triple jump	W	NonScientist
Indian chief Cunhabebe (16th century)	W	NonScientist
wife Lilian	W	NonScientist
first name of first author's wife	W	NonScientist
Bernadett Solymosi, the wife of the first author.	W	NonScientist
Lily Harriet Fox, a supporter of spider taxonomy	W	NonScientist
wife’s name Sh’lomit	W	NonScientist
Queen Rangita	W	NonScientist
dedicated to the mother of 1st author (word for mother in Thai language)	W	NonScientist
likely a person (yes, Nomine Emiliae dilectae filiae Henrici Verney	W	NonScientist
2nd author's daughter, Leni Elise Harms	W	NonScientist
wife	W	NonScientist
Author wife; Note that the name is incorrectly reported in the WSC, as H. carobi (personal communication with Stefan Foord; 01 feb 2021)	W	NonScientist
This species is named after my wife, Soesila Makhan.	W	NonScientist
daughter	W	NonScientist
Emma Elizabeth Jensen Gray (daughter)	W	NonScientist
wife	W	NonScientist
wife Annick De Winter	W	NonScientist
Michelle Obama	W	NonScientist
first author’s daughter, Laura Camara Ximenes Pereira, nicknamed Laurica	W	NonScientist
Emile Blondel	W	NonScientist
Lic. Ana Lia Estevez	W	NonScientist
Amelie Melkorka (Daughter)	W	NonScientist
daughter	W	NonScientist
in honor of Valentina Moroni Almeida, the first author’s daughter	W	NonScientist
Elena Quezada	W	NonScientist
wife	W	NonScientist
after the first author’s grandmother, Sarojini Devi	W	NonScientist
The species epithet is from the Latin noun rosarium (rosary). This species is named in honor of Ms. Rosario, mother of the first author	W	NonScientist
Patronym dedicated to the first author’s girlfriend, Stephania Sandoval, because she is small and charming.	W	NonScientist
author's friend Belinda	W	NonScientist
from the first name of Zhu Mingsheng's wife Zhao Xiuying , who supported Zhu's research work all her life	W	NonScientist
nickname of Koen van Keer’s (the collector of the type series) girlfriend “Monita” (she tries very hard to overcome her arachnophobia)	W	NonScientist
daughther of 1st author	W	NonScientist
Mexican artist Magdalena Carmen Frida Kahlo y Calderón, popularly known as Frida Kahlo	W	NonScientist
Marjorie Spotts-Litsinger	W	NonScientist
wife	W	NonScientist
Mrs Almi van den Berg	W	NonScientist
daughter Debolina	W	NonScientist
little daughter, Maria	W	NonScientist
Rinske Boersma, spouse of the first author	W	NonScientist
daughter	W	NonScientist
beloved mother Ena Ruiz	W	NonScientist
Mother	W	NonScientist
honouring my wife Irena Kuntner.	W	NonScientist
wife	W	NonScientist
mother, Bkheita	W	NonScientist
daughter Namrata	W	NonScientist
Princess Dido (also known as Didona; 839–785 BCE), who is believed to be a legendary founder and the first queen of the ancient state Carthage	W	NonScientist
daughter of Matthew Leister, Jasmine E. Leister. She has taught Matthew Leister to stay young at heart and to always follow his dreams.	W	NonScientist
Cara Churchill	W	NonScientist
Mrs Sue McDonald (help)	W	NonScientist
Mrs. Martha Bogert, collector	W	NonScientist
Mrs Ellen Genil	W	NonScientist
dedicated to my sister. Victoria V. Logunova (Stavropol. Russia)	W	NonScientist
wife	W	NonScientist
grandmother	W	NonScientist
author’s wife, Ann	W	NonScientist
mother	W	NonScientist
senior author’s mother, Mary Harrison	W	NonScientist
Johanna Baher (Daughter)	W	NonScientist
first author’s mother-in-law Yadira Collado Ulloa, affectionately known to her grandchildren as ‘Tita’.	W	NonScientist
Helfrid Tullgren (wife or daughter probably) 	W	NonScientist
wife Mrs Larisa B. Logunova	W	NonScientist
Wife	W	NonScientist
Named for Filipino violinist Carmencita Lozada (1940–2006), prize winner of the Paganini International Violin Competition in Italy	W	NonScientist
Mother Hannae	W	NonScientist
Andrea Ximena Gonzales Reyes	W	NonScientist
Vanessa Wanless	W	NonScientist
Collector Meg Cumming	W	NonScientist
Ms Doddie Capili	W	NonScientist
mother	W	NonScientist
In  honor of J. Barneche’s daughter, Lara	W	NonScientist
actress, Dame Helen Mirren	W	NonScientist
Alison Robyn Mellor, nee Bagley	W	NonScientist
daughter	W	NonScientist
not rerpoted, likely a person, Galochka is a Russian diminutive female name	W	NonScientist
